,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
661,2112704,Vargem Grande,21,MA,449.9978333333339,517.1065495207663,473.4186900958469,476.74583333333345,425.8785942492013
662,2112803,Viana,21,MA,458.4902654867259,531.9878284923926,490.09972337482645,488.8585545722714,456.6804979253112
663,2112852,Vila Nova dos Martírios,21,MA,462.7573529411763,541.8442857142858,493.80428571428575,511.60735294117643,456.57142857142856
664,2112902,Vitória do Mearim,21,MA,451.9793510324484,528.2395604395603,489.82692307692326,481.29852507374653,470.6043956043956
665,2113009,Vitorino Freire,21,MA,466.3092896174863,533.1006791171479,488.79235993208863,498.67012750455365,492.1561969439728
666,2114007,Zé Doca,21,MA,460.3244922341698,523.915659955257,488.7872483221477,489.6775388291522,427.6510067114094
667,2200053,Acauã,22,PI,470.53157894736853,552.4455696202533,506.9316455696205,535.2921052631577,528.1012658227849
668,2200103,Agricolândia,22,PI,466.3697478991596,537.8209677419353,489.47903225806454,502.638655462185,471.1290322580645
669,2200202,Água Branca,22,PI,461.0423423423424,527.9965367965368,490.83290043290043,500.1175675675677,442.16450216450215
670,2200251,Alagoinha do Piauí,22,PI,466.28374999999994,529.579761904762,486.2904761904762,498.05375000000015,494.5238095238095
671,2200277,Alegrete do Piauí,22,PI,446.4292452830189,532.9886792452829,476.43301886792466,484.97452830188683,437.54716981132077
672,2200301,Alto Longá,22,PI,455.79680365296804,526.5623893805309,485.85309734513294,496.6123287671232,475.39823008849555
673,2200400,Altos,22,PI,468.42594215600394,542.0637353433822,494.86499162479066,501.24531113058805,461.6917922948074
674,2200459,Alvorada do Gurguéia,22,PI,452.94487179487174,499.13214285714275,460.22619047619054,479.8858974358975,418.8095238095238
675,2200509,Amarante,22,PI,460.0277286135692,529.8475504322769,484.67608069164294,488.30176991150466,447.1469740634006
676,2200608,Angical do Piauí,22,PI,459.35663265306147,527.9143564356436,485.6544554455446,481.7698979591839,458.61386138613864
677,2200707,Anísio de Abreu,22,PI,467.1486956521737,543.5487179487178,496.6034188034189,520.9869565217391,472.3076923076923
678,2200806,Antônio Almeida,22,PI,436.30999999999995,513.9745098039215,463.05098039215676,465.95400000000006,398.4313725490196
679,2200905,Aroazes,22,PI,464.1172131147542,511.53565891472886,474.94496124031014,483.2131147540981,439.2248062015504
680,2200954,Aroeiras do Itaim,22,PI,452.76382978723416,521.8901960784312,484.2058823529413,486.8851063829787,456.47058823529414
681,2201002,Arraial,22,PI,457.31025641025644,507.13580246913574,473.0604938271605,481.3288461538462,422.5925925925926
682,2201051,Assunção do Piauí,22,PI,452.634693877551,513.2020408163264,487.7102040816328,500.16326530612236,446.1224489795918
683,2201101,Avelino Lopes,22,PI,461.4075,520.5016666666664,485.1275,490.5449999999997,436.6666666666667
684,2201150,Baixa Grande do Ribeiro,22,PI,450.86749999999984,502.4197530864199,471.8932098765434,478.38625,435.18518518518516
685,2201176,Barra D'Alcântara,22,PI,461.9567567567569,522.578947368421,501.6276315789475,483.5324324324325,493.94736842105266
686,2201200,Barras,22,PI,459.95808039376493,531.3417133706963,485.8908726981584,490.41156685808033,457.58206565252203
687,2201309,Barreiras do Piauí,22,PI,446.24931506849333,496.33544303797447,452.4329113924051,464.82876712328766,403.0379746835443
688,2201408,Barro Duro,22,PI,458.0816326530613,528.3285714285715,491.6847619047619,499.264285714286,416.57142857142856
689,2201507,Batalha,22,PI,457.33400735294134,527.0740143369175,484.31236559139836,490.00238970588214,427.741935483871
690,2201556,Bela Vista do Piauí,22,PI,456.0821917808219,488.2924050632909,464.4379746835444,485.5520547945205,465.82278481012656
691,2201572,Belém do Piauí,22,PI,466.7000000000001,543.5575757575755,509.1727272727274,521.3234375,525.4545454545455
692,2201606,Beneditinos,22,PI,457.50985221674875,530.1927884615385,488.5677884615383,495.90443349753707,473.5576923076923
693,2201705,Bertolínia,22,PI,458.6411290322579,517.3198473282441,472.975572519084,479.19435483870967,449.1603053435114
694,2201739,Betânia do Piauí,22,PI,460.6559999999999,528.9783132530121,485.4554216867472,487.7106666666668,465.06024096385545
695,2201770,Boa Hora,22,PI,455.2205211726385,513.6477564102561,471.25352564102565,480.0302931596089,433.78205128205127
696,2201804,Bocaina,22,PI,476.00769230769237,551.5816793893132,509.69923664122143,541.1430769230768,511.2977099236641
697,2201903,Bom Jesus,22,PI,460.0517666392763,524.9597783056215,484.0759303246229,490.2603122432199,449.2319873317498
698,2201919,Bom Princípio do Piauí,22,PI,457.6603603603601,516.5730434782608,486.4365217391306,476.54144144144135,478.60869565217394
699,2201929,Bonfim do Piauí,22,PI,451.98108108108124,528.0906666666666,474.24133333333333,476.41081081081086,455.46666666666664
700,2201945,Boqueirão do Piauí,22,PI,452.02533333333315,526.896688741722,488.99867549668835,486.4226666666668,444.2384105960265
701,2201960,Brasileira,22,PI,455.4000000000001,530.5564417177912,485.5619631901841,495.40822784810126,482.6993865030675
702,2201988,Brejo do Piauí,22,PI,454.8234042553191,524.3775510204082,480.97346938775496,479.7489361702127,455.1020408163265
703,2202000,Buriti dos Lopes,22,PI,458.376958525346,530.1703056768565,484.6434497816591,484.5838709677419,451.92139737991266
704,2202026,Buriti dos Montes,22,PI,455.8014925373134,539.4143884892085,482.04460431654695,498.6671641791044,445.0359712230216
705,2202059,Cabeceiras do Piauí,22,PI,454.2805970149256,524.4010869565218,476.9380434782611,490.27238805970137,427.60869565217394
706,2202075,Cajazeiras do Piauí,22,PI,442.33333333333326,515.5187499999998,463.3937500000003,470.23717948717956,401.0
707,2202083,Cajueiro da Praia,22,PI,454.28225806451616,526.8785714285714,491.5801587301587,487.883064516129,463.968253968254
708,2202091,Caldeirão Grande do Piauí,22,PI,500.70392156862755,569.7925925925922,521.1037037037037,535.0666666666667,567.7777777777778
709,2202109,Campinas do Piauí,22,PI,443.62063492063476,498.67187499999994,445.809375,472.29999999999995,414.6875
710,2202117,Campo Alegre do Fidalgo,22,PI,451.34705882352944,500.4013888888889,459.6333333333332,493.83970588235303,394.44444444444446
711,2202133,Campo Grande do Piauí,22,PI,461.2321678321678,533.1826388888892,480.1972222222221,505.3573426573426,465.27777777777777
712,2202174,Campo Largo do Piauí,22,PI,446.9041666666667,493.4411764705882,453.5541176470587,469.80833333333317,374.8235294117647
713,2202208,Campo Maior,22,PI,470.82410714285623,546.4837690631811,502.6588779956431,509.8539620535707,490.0871459694989
714,2202251,Canavieira,22,PI,444.71,494.7870967741935,450.541935483871,465.6733333333333,350.96774193548384
